iter	Passed	Remaining
0	154	43072
1	158	21920
2	161	14846
3	164	11304
4	167	9187
5	170	7762
6	173	6744
7	176	5993
8	179	5399
9	183	4923
10	185	4530
11	188	4195
12	191	3917
13	194	3677
14	196	3466
15	199	3281
16	202	3122
17	205	2977
18	208	2850
19	211	2734
20	214	2630
21	217	2539
22	220	2452
23	223	2375
24	226	2300
25	229	2231
26	232	2166
27	234	2104
28	237	2048
29	240	1995
30	243	1947
31	246	1901
32	249	1857
33	252	1817
34	255	1777
35	258	1742
36	261	1707
37	263	1673
38	266	1641
39	269	1611
40	272	1579
41	274	1550
42	277	1522
43	280	1497
44	283	1472
45	285	1448
46	288	1424
47	291	1402
48	293	1379
49	296	1360
50	299	1339
51	302	1319
52	305	1301
53	307	1282
54	310	1266
55	313	1249
56	316	1233
57	319	1219
58	323	1205
59	326	1190
60	328	1174
61	331	1160
62	334	1146
63	337	1134
64	340	1121
65	343	1108
66	346	1096
67	349	1083
68	351	1070
69	354	1059
70	357	1047
71	360	1035
72	363	1024
73	365	1013
74	368	1002
75	371	991
76	374	981
77	376	970
78	379	960
79	382	950
80	384	940
81	387	931
82	390	921
83	393	913
84	395	903
85	398	895
86	401	886
87	404	877
88	406	868
89	409	860
90	412	852
91	415	843
92	417	835
93	420	828
94	423	820
95	426	812
96	429	805
97	431	797
98	434	790
99	437	783
100	440	776
101	442	768
102	445	761
103	448	754
104	450	747
105	453	740
106	456	734
107	459	728
108	462	721
109	465	715
110	469	710
111	472	704
112	475	698
113	478	692
114	481	686
115	484	680
116	487	674
117	490	669
118	493	663
119	496	658
120	499	652
121	502	647
122	505	641
123	508	636
124	511	630
125	514	624
126	517	619
127	520	613
128	522	607
129	525	602
130	528	596
131	530	591
132	533	585
133	536	580
134	538	574
135	541	569
136	544	564
137	547	559
138	551	555
139	553	549
140	556	544
141	558	539
142	562	534
143	565	529
144	569	526
145	572	521
146	575	516
147	577	511
148	580	506
149	584	502
150	587	497
151	590	493
152	592	488
153	595	483
154	598	478
155	600	473
156	603	469
157	606	464
158	609	459
159	611	455
160	614	450
161	617	446
162	620	441
163	623	437
164	626	432
165	628	428
166	631	423
167	634	419
168	637	414
169	640	410
170	643	406
171	646	402
172	648	397
173	651	393
174	654	388
175	657	384
176	659	380
177	662	376
178	665	371
179	668	367
180	671	363
181	673	359
182	676	354
183	679	350
184	682	346
185	685	342
186	687	338
187	690	334
188	693	330
189	696	326
190	699	322
191	701	318
192	704	314
193	707	310
194	710	306
195	713	301
196	715	298
197	718	294
198	721	290
199	724	286
200	727	282
201	729	278
202	732	274
203	735	270
204	738	266
205	741	262
206	744	258
207	747	255
208	749	251
209	752	247
210	755	243
211	757	239
212	760	235
213	763	231
214	765	227
215	768	224
216	771	220
217	774	216
218	776	212
219	779	209
220	782	205
221	784	201
222	787	197
223	790	194
224	793	190
225	796	186
226	799	183
227	801	179
228	804	175
229	807	172
230	810	168
231	813	164
232	816	161
233	819	157
234	821	153
235	824	150
236	827	146
237	830	142
238	832	139
239	835	135
240	838	132
241	841	128
242	844	125
243	846	121
244	849	117
245	852	114
246	854	110
247	857	107
248	860	103
249	863	100
250	866	96
251	869	93
252	871	89
253	874	86
254	876	82
255	879	79
256	882	75
257	885	72
258	887	68
259	890	65
260	893	61
261	896	58
262	899	54
263	902	51
264	904	47
265	907	44
266	910	40
267	912	37
268	915	34
269	918	30
270	920	27
271	923	23
272	926	20
273	929	16
274	931	13
275	934	10
276	936	6
277	939	3
278	941	0
